"id","reportid","eqpt_type","mass","type","bunker_lot_id"
17985453,"ca7722a1-ff5c-44c6-ae12-be5d1aa31044","main_engines_total","0.110000","mgo","23f7f805-b0f5-413e-aa1f-90546da9ce2e"
17985518,"11d8f6ca-851d-4ddc-9024-96de9d94e04b","aux_engines_total","8.200000","lfo","0663420e-bd70-45b2-b2eb-94e22b3c410c"
17985548,"7c0ba69d-663c-4c87-b0a1-b110b31744ea","aux_engines_total","4.000000","lfo","0663420e-bd70-45b2-b2eb-94e22b3c410c"
17985549,"7c0ba69d-663c-4c87-b0a1-b110b31744ea","main_engines_total","34.000000","lfo","0663420e-bd70-45b2-b2eb-94e22b3c410c"
17985519,"11d8f6ca-851d-4ddc-9024-96de9d94e04b","main_engines_total","34.200000","lfo","0663420e-bd70-45b2-b2eb-94e22b3c410c"
18130967,"d4951ee6-b9e8-4ce5-a97e-0e1b90219f55","aux_engines_total","0.600000","hfo","66327a31-2b03-4146-819d-099856098c80"
18130968,"d4951ee6-b9e8-4ce5-a97e-0e1b90219f55","main_engines_total","1.200000","hfo","66327a31-2b03-4146-819d-099856098c80"
18130969,"d4951ee6-b9e8-4ce5-a97e-0e1b90219f55","boilers_total","0.200000","mgo","6ab2a4bf-6482-4ee5-9d6c-44122e542784"
18045856,"fa8a30aa-b6b8-4515-aa33-1308cf51d938","aux_engines_total","5.200000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18022471,"4292ca1a-2884-4516-8059-ff27e195c156","aux_engines_total","0.400000","hfo","85fe2401-400d-48a4-8081-7bebbd704371"
18022472,"4292ca1a-2884-4516-8059-ff27e195c156","boilers_total","0.100000","hfo","85fe2401-400d-48a4-8081-7bebbd704371"
18045857,"fa8a30aa-b6b8-4515-aa33-1308cf51d938","main_engines_total","35.400000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045969,"4e3e9e11-86a0-43a8-936c-fd0d0b00593b","aux_engines_total","0.300000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
