"id","reportid","mass","type","lot_id","type_group"
663010674,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mdo","BF9A3025-5C26-4CFB-9C04-F105737B9E35","mgo01"
663010675,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","C27AEF1D-4CB3-4873-85AE-C691B9A8287F","vlsfo05"
663010676,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","C4B3F469-5E30-4FBC-A8A7-81BE36D95FA2","vlsfo05"
663010677,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","C6723EEE-CACB-4FBA-9FA1-4E064559695A","vlsfo05"
663010678,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","E1133E57-7154-46B5-B75D-1A3FEF92867C","mgo01"
663010679,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","EBAB34DB-DEF2-4551-97C4-F0795A3FA607","mgo01"
663010680,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","ED742EBE-F93F-47C4-BD24-19BD50573330","mgo01"
663010681,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","F216094D-74C5-436E-A9BA-A9838D5C50AE","mgo01"
663010682,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","F36B4716-462F-431A-AA2D-7509F4C24D55","vlsfo05"
663010683,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","F436C178-6A22-4A6E-BF9D-C551D547BF6E","vlsfo05"
663010684,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","F44586D3-67E0-4A06-B725-3E0B29E7A061","vlsfo05"
663010685,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","FAD29EFD-9344-4236-8ED6-6BBDBC118A80","vlsfo05"
663010686,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","FEF54AC4-DC6D-4A78-BC9D-A33F0863F1B7","mgo01"
663010687,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","00FC37F1-7535-4003-8EA9-D0885759FC36","mgo01"
663010688,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","0663420E-BD70-45B2-B2EB-94E22B3C410C","vlsfo05"
663010689,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","193B8AA6-7265-4241-83C0-A294B4F7E2AC","vlsfo05"
663010690,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","23F7F805-B0F5-413E-AA1F-90546DA9CE2E","mgo01"
663010691,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","30EB96E3-F9C4-44DD-9677-BD5CB9C98989","vlsfo05"
